Order No.,Client OrderID,Order Type,Sub Order Type,Customer Name,Customer Phone,GSTIN,Customer Address,Delivery Boy,Delivery Boy Number,Items,My Amount (₹),Total Discount (₹),Delivery Charge (₹),Container Charge (₹),Total Tax (₹),Round Off (₹),Grand Total (₹),Payment Type,Payment Description,Status,Created,Sequence Name
17761,,Pick Up,Pick Up,,,,,,,"Absolute (180 Ml), Blenders Pride (180 Ml), Breezer, Bud Mild 500, Budwiser Mild (330 Ml), Budwiser Mild (650 Ml), Budwiser Strong (500 ML), Budwiser Strong (650 Ml), Calsberg Mild, Corona (330 Ml), Dr Brandy (180 Ml), Dsp Black (180 Ml), Dsp Black (90 Ml), Imperial Blue (180 Ml), Imperial Blue (90 Ml), Kingfisher Mid (330 Ml), Kingfisher Mid (650 Ml), Kingfisher Strong (500 ML), Kingfisher Strong (650 Ml), Kingfisher Ultra (650 Ml), Lp  Strong, Lp Mild, Macdowell Rum (180 Ml), Magic Moment (180 Ml), Magic Moment Apple (180 Ml), Mc Dowell (180 Ml), Mc Dowell (90 Ml), Mc Dowell Luxury (180 Ml), Oak Smit Silver Internation (180 Ml), Old Monk (180 Ml), Packaged Water, Red Bull, Romanov (180 Ml), Romanov Apple (180 Ml), Royal Challenge (180 Ml), Royalstag (180 Ml), Royalstag (90 Ml), Signature (180 Ml), Sterling Reserve B7 180ml (180 Ml), Tuborg Mild, Tuborg Strong (500 ML), Tuborg Strong (650 Ml), White Mischeif (180 Ml)",87265.00,0.00,0.00,0.00,30.50,0.50,87296.00,Cash,,Printed,31 Aug 2025 02:54:41,
17760,,Dine In (20),AC,,,,,,,"Chicken Crispy, Old Monk (30 Ml), Schezwan Sauce, Tuborg Strong (500 ML)",655.00,0.00,0.00,0.00,51.00,0.00,706.00,Cash,,Printed,31 Aug 2025 00:58:33,
17759,,Dine In (15),AC,,,,,,,"Bacardi Limon (180 Ml), Bacardi Limon (60 Ml), Bacardi Limon (90 Ml), Bombil Fry, Budwiser Mild (650 Ml), Chicken Thali, Corona (330 Ml), Egg Fried Rice, Fry Papad, Greater Than Gin 180ml, Green Salad, Prawns Thali, Soft Drink 300 Ml, Veg Combination Rice",8520.00,852.00,0.00,0.00,702.00,0.00,8370.00,Cash,,Printed,31 Aug 2025 00:56:19,
17758,,Pick Up,Pick Up,,,,,,,Packaged Water,20.00,20.00,0.00,0.00,0.00,0.00,0.00,Cash,,Printed,31 Aug 2025 00:55:18,
17757,,Pick Up,Pick Up,,,,,,,Packaged Water,20.00,20.00,0.00,0.00,0.00,0.00,0.00,Cash,,Printed,31 Aug 2025 00:48:17,
17756,,Dine In (6C),Non AC,,,,,,,"Old Monk (180 Ml), Old Monk (60 Ml), Veg Thali",960.00,96.00,0.00,0.00,83.26,-0.26,947.00,Cash,,Printed,31 Aug 2025 00:44:31,
17755,,Dine In (6),Non AC,,,,,,,"Chicken Biryani Boneless, Masala Papad, Soft Drink 300 Ml",360.00,0.00,0.00,0.00,18.00,0.00,378.00,Cash,,Printed,31 Aug 2025 00:30:37,
17754,,Dine In (8),AC,,,,,,,"Kollum Rice (Half), Mandeli Fry, Veg Thali",310.00,31.00,0.00,0.00,13.96,0.04,293.00,Cash,,Printed,31 Aug 2025 00:15:46,
17753,,Dine In (20),AC,,,,,,,"Bhakri, Crab Lolipop (6 Pc), Kingfisher Mid (650 Ml), Pomfret Thali, Schezwan Sauce",1093.00,0.00,0.00,0.00,72.66,0.34,1166.00,Cash,,Printed,31 Aug 2025 00:13:48,
17752,,Dine In (4),Non AC,,,,,,,"Chapati, Veg Thali",200.00,0.00,0.00,0.00,10.00,0.00,210.00,Cash,,Printed,31 Aug 2025 00:09:51,
17751,,Dine In (10),AC,,,,,,,"Blenders Pride (180 Ml), Blenders Pride (60 Ml), Chicken Thali, Neer Dosa Per Pc, Packaged Water, Roasted Papad, Soft Drink 300 Ml, Solkadi, Surmai Fry (2Pcs)",2470.00,0.00,0.00,0.00,204.00,0.00,2674.00,Cash,,Printed,31 Aug 2025 00:08:54,
17750,,Dine In (21),AC,,,,,,,"Bhakri, Mutton Kheema, Oak Smit Silver Internation (60 Ml), Packaged Water, Solkadi",978.00,0.00,0.00,0.00,70.90,0.10,1049.00,Cash,,Printed,31 Aug 2025 00:02:46,
17749,,Dine In (12),AC,,,,,,,"Bhakri, Chana Garlic Fry, Chicken Thali, Mix Seafood Platter Tawa Fry, Packaged Water, Prawns Koliwada",1464.00,146.40,0.00,0.00,65.88,-0.48,1383.00,Cash,,Printed,30 Aug 2025 23:55:12,
17748,,Dine In (3),Non AC,,,,,,,"Chakli, Veg Thali",240.00,0.00,0.00,0.00,12.00,0.00,252.00,Cash,,Printed,30 Aug 2025 23:53:56,
17747,,Dine In (1),Non AC,,,,,,,"Kingfisher Strong (500 ML), Kingfisher Strong (650 Ml)",575.00,0.00,0.00,0.00,57.50,0.50,633.00,Cash,,Printed,30 Aug 2025 23:50:59,
17746,,Dine In (16),AC,,,,,,,"Bhakri, Chana Garlic Fry, Kingfisher Ultra (330 Ml), Kingfisher Ultra (650 Ml), Mix Seafood Platter Tawa Fry, Packaged Water, Pomfret Billa Tawa Fry, Prawns Thali",2288.00,0.00,0.00,0.00,144.90,0.10,2433.00,Cash,,Printed,30 Aug 2025 23:50:17,
17745,,Dine In (7),AC,,,,,,,"Chicken Lolypop Full, Magic Moment (60 Ml), Magic Moments Cranberry (180 Ml), Packaged Water, Paneer Chilli, Soft Drink 300 Ml, Squid Koliwada, Veg Manchhow Soup",1815.00,0.00,0.00,0.00,126.00,0.00,1941.00,Cash,,Printed,30 Aug 2025 23:46:23,
17744,,Dine In (19),AC,,,,,,,"Budwiser Mild (650 Ml), Chicken Gravy, Egg Bhurji, Mix Seafood Platter Tawa Fry, Neer Dosa Per Pc",2090.00,0.00,0.00,0.00,164.50,0.50,2255.00,Cash,,Printed,30 Aug 2025 23:40:20,
17743,,Dine In (5),Non AC,,,,,,,"Budwiser Strong (650 Ml), Chana Garlic Fry, Mori (Shark) Tawa Fry, Schezwan Sauce, Seafood Thali",2140.00,0.00,0.00,0.00,168.50,0.50,2309.00,Cash,,Printed,30 Aug 2025 23:31:48,
17742,,Dine In (9),AC,,,,,,,"Bhakri, Kollum Rice (Full), Kollum Rice (Half), Konkan Swad Special Seafood Thali, Soft Drink 300 Ml",1168.00,0.00,0.00,0.00,58.40,-0.40,1226.00,Cash,,Printed,30 Aug 2025 23:20:19,
17741,,Dine In (6),Non AC,,,,,,,"Bangda Masala, Bombil Fry, Chicken Gravy, Fish Gravy, Mandeli Fry, Tuborg Strong (650 Ml)",1690.00,0.00,0.00,0.00,133.26,-0.26,1823.00,Cash,,Printed,30 Aug 2025 23:19:46,
17740,,Dine In (3),Non AC,,,,,,,"Barrel (180 Ml), Finger Chips, Soda 300ml",605.00,0.00,0.00,0.00,54.26,-0.26,659.00,Cash,,Printed,30 Aug 2025 23:14:20,
17739,,Dine In (11),AC,,,,,,,"Bhakri, Neer Dosa Per Pc, Packaged Water, Prawns Fried Rice, Seafood Thali, Solkadi",986.00,0.00,0.00,0.00,49.30,-0.30,1035.00,Cash,,Printed,30 Aug 2025 23:09:16,
17738,,Dine In (14),AC,,,,,,,"Chakli, Chapati, Chicken Masala Fry, Packaged Water, Prawns Fry, Prawns Koliwada, Roasted Papad, Schezwan Sauce, Surmai Fry (2Pcs)",1810.00,0.00,0.00,0.00,90.50,0.50,1901.00,Cash,,Printed,30 Aug 2025 23:07:30,
17737,,Dine In (21),AC,,,,,,,"Crab Lolipop (6 Pc), Prawns Biryani",640.00,0.00,0.00,0.00,32.00,0.00,672.00,Cash,,Printed,30 Aug 2025 23:03:23,
17736,,Dine In (12),AC,,,,,,,"Bhakri, Bombil Fry, Chicken Lolypop Full, Packaged Water, Pomfret Thali, Royalstag (180 Ml), Tuborg Strong (650 Ml)",1673.00,0.00,0.00,0.00,122.66,0.34,1796.00,Cash,,Printed,30 Aug 2025 23:00:32,
17735,,Dine In (18),AC,,,,,,,"Chicken Lolypop Full, Egg Bhurji, Masala Papad, Royalstag (180 Ml), Soda 300ml",1770.00,0.00,0.00,0.00,154.50,0.50,1925.00,Cash,,Printed,30 Aug 2025 22:59:52,
17734,,Dine In (4),Non AC,,,,,,,Veg Thali,140.00,0.00,0.00,0.00,7.00,0.00,147.00,Cash,,Printed,30 Aug 2025 22:58:21,
17733,,Dine In (22),AC,,,,,,,"Bombil Fry, Chana Koliwada, Green Salad, Oak Smit Silver Internation (180 Ml), Oak Smit Silver Internation (90 Ml), Packaged Water, Prawns Biryani, Roasted Papad, Soda 300ml, Tuborg Strong (650 Ml)",2200.00,0.00,0.00,0.00,172.50,0.50,2373.00,Cash,,Printed,30 Aug 2025 22:52:44,
17732,,Dine In (7),AC,,,,,,,"American Pride (90 Ml), Crab Lolipop (6 Pc), Masala Snacks, Packaged Water, Prawns Biryani, Soda 300ml, Solkadi, Surmai Tawa Fry(2Pcs), Watermelon Mojito",1580.00,0.00,0.00,0.00,92.50,0.50,1673.00,Cash,,Printed,30 Aug 2025 22:47:09,
17731,,Dine In (20),AC,,,,,,,"Bhakri, Blueberry Mojito, Bombil Fry, crab jumbo masala fry, King Prawns Tawa Fry, Oak Smith Gold (180 Ml), Packaged Water, Surmai Fry (2Pcs)",3176.00,0.00,0.00,0.00,187.80,0.20,3364.00,Cash,,Printed,30 Aug 2025 22:32:04,
17730,,Dine In (24),AC,,,,,,,Solkadi,180.00,0.00,0.00,0.00,9.00,0.00,189.00,Cash,,Printed,30 Aug 2025 22:31:26,
17729,,Dine In (8),AC,,,,,,,"Bangda Tawa Fry, Bhakri, Fresh Lime Soda, Solkadi, Sukka Bhaji Wati, Veg Thali",514.00,0.00,0.00,0.00,25.70,0.30,540.00,Cash,,Printed,30 Aug 2025 22:28:30,
17728,,Pick Up,Pick Up,,,,,,,Schezwan Sauce,30.00,4.50,0.00,0.00,1.28,0.22,27.00,Cash,,Printed,30 Aug 2025 22:26:35,
17727,,Dine In (9),AC,,,,,,,Veg Biryani,220.00,0.00,0.00,0.00,11.00,0.00,231.00,Cash,,Printed,30 Aug 2025 22:04:20,
17726,,Dine In (10),AC,,,,,,,"Bhakri, Packaged Water, Prawns Koliwada, Prawns Thali, Soft Drink 300 Ml, White Mischeif (60 Ml)",908.00,0.00,0.00,0.00,54.40,-0.40,962.00,Cash,,Printed,30 Aug 2025 22:03:29,
17725,,Dine In (11),AC,,,,,,,"Bhakri, Chicken Lolypop Full, Fresh Lime Soda, Mandeli Fry, Neer Dosa Per Pc, Packaged Water, Prawns Koliwada, Seafood Thali",1428.00,0.00,0.00,0.00,71.40,-0.40,1499.00,Cash,,Printed,30 Aug 2025 21:56:53,
17724,,Dine In (17),AC,,,,,,,"Chicken Munchow Soup, Packaged Water, Surmai Thali",520.00,0.00,0.00,0.00,26.00,0.00,546.00,Cash,,Printed,30 Aug 2025 21:56:07,
17723,7225381019,Delivery,Zomato,,,,,,,"Neer Dosa[2 Pcs], Prawns Masala, Surmai Masala",680.00,0.00,0.00,0.00,34.00,0.00,714.00,Online,,Printed,30 Aug 2025 21:44:39,
17722,,Dine In (6),Non AC,,,,,,,Kingfisher Strong (650 Ml),325.00,0.00,0.00,0.00,32.50,0.50,358.00,Cash,,Printed,30 Aug 2025 21:41:44,
17721,,Dine In (14),AC,,,,,,,"Boiled Eggs, egg tirper rice, Kollum Rice (Half), Neer Dosa Per Pc, Old Monk (180 Ml), Packaged Water, Soft Drink 600 Ml, Surmai Tawa Fry(2Pcs)",1730.00,0.00,0.00,0.00,128.50,0.50,1859.00,Cash,,Printed,30 Aug 2025 21:40:30,
17720,,Dine In (5),Non AC,,,,,,,Dal Khichdi Tadka,180.00,0.00,0.00,0.00,9.00,0.00,189.00,Cash,,Printed,30 Aug 2025 21:39:59,
17719,,Dine In (6),Non AC,,,,,,,Veg Thali,70.00,0.00,0.00,0.00,3.50,0.50,74.00,Cash,,Printed,30 Aug 2025 21:39:54,
17718,7224055854,Delivery,Zomato,,,,,,,Chicken Liver Masala Fry,250.00,0.00,0.00,0.00,12.50,0.50,263.00,Online,,Printed,30 Aug 2025 21:25:52,
17717,,Dine In (21),AC,,,,,,,"Chicken Biryani, Chicken Crispy, Chicken Lolypop Full, Packaged Water",820.00,0.00,0.00,0.00,41.00,0.00,861.00,Cash,,Printed,30 Aug 2025 21:20:40,
17716,7223219093,Delivery,Zomato,,,,,,,"Bombil Fry, Solkadi",320.00,0.00,0.00,0.00,16.00,0.00,336.00,Online,,Printed,30 Aug 2025 20:58:38,
17715,,Dine In (19),AC,,,,,,,"Budwiser Strong (650 Ml), Extra Vade(4pc), King Prawns  Fry, Konkan Swad Special Seafood Thali, Packaged Water, Squid Tawa Fry",2340.00,0.00,0.00,0.00,160.00,0.00,2500.00,Cash,,Printed,30 Aug 2025 20:57:39,
17714,7224540892,Delivery,Zomato,,,,,,,Bhakri,320.00,0.00,0.00,0.00,16.00,0.00,336.00,Online,,Printed,30 Aug 2025 20:43:45,
17713,,Dine In (20),AC,,,,,,,"Chapati, Packaged Water, Pomfret Thali, Prawns Thali, Soft Drink 300 Ml",851.00,0.00,0.00,0.00,42.56,0.44,894.00,Cash,,Printed,30 Aug 2025 20:41:26,
17712,,Dine In (17),AC,,,,,,,"Chicken Masala (sagoti), Fresh Lime Water, Neer Dosa Per Pc, Old Monk (30 Ml), Old Monk (60 Ml), Surmai Fry (2Pcs)",1090.00,0.00,0.00,0.00,74.50,0.50,1165.00,Cash,,Printed,30 Aug 2025 20:22:23,
17711,,Pick Up,Pick Up,,,,,,,"Chicken Crispy, Chicken Fried Rice",520.00,104.00,0.00,0.00,20.80,0.20,437.00,Cash,,Printed,30 Aug 2025 20:18:40,
17710,,Dine In (5),Non AC,,,,,,,Veg Thali,70.00,0.00,0.00,0.00,3.50,0.50,74.00,Cash,,Printed,30 Aug 2025 20:15:05,
17709,7219881391,Delivery,Zomato,,,,,,,Prawns Biryani,340.00,0.00,0.00,0.00,17.00,0.00,357.00,Online,,Printed,30 Aug 2025 20:14:03,
17708,,Dine In (21),AC,,,,,,,"Chana Koliwada, Chapati, Veg Thali",316.00,0.00,0.00,0.00,15.80,0.20,332.00,Cash,,Printed,30 Aug 2025 20:12:09,
17707,,Dine In (18),AC,,,,,,,"Bangda Fry, Extra Vade(4pc), Konkan Swad Special Seafood Thali",770.00,0.00,0.00,0.00,38.50,0.50,809.00,Cash,,Printed,30 Aug 2025 20:06:35,
17706,7223354375,Delivery,Zomato,,,,,,,Egg Masala,300.00,0.00,0.00,0.00,15.00,0.00,315.00,Online,,Printed,30 Aug 2025 19:49:02,
17705,215532641550689,Delivery,Konkan Swad Gomantak F - Swiggy,,,,,,,Surmai Fry (2pcs),350.00,0.00,0.00,10.00,17.50,0.50,378.00,Online,,Printed,30 Aug 2025 19:41:44,
17704,,Dine In (4),Non AC,,,,,,,Tuborg Strong (500 ML),250.00,0.00,0.00,0.00,25.00,0.00,275.00,Cash,,Printed,30 Aug 2025 18:56:04,
17703,,Dine In (2),Non AC,,,,,,,"Fresh Lime Soda, Neer Dosa Per Pc, Prawns Biryani, Prawns Masala Fry",778.00,0.00,0.00,0.00,38.90,0.10,817.00,Cash,,Printed,30 Aug 2025 17:22:02,
17702,,Dine In (5),Non AC,,,,,,,"Chakli, Schezwan Sauce, Tuborg Strong (650 Ml)",710.00,0.00,0.00,0.00,68.00,0.00,778.00,Cash,,Printed,30 Aug 2025 17:10:26,
17701,,Dine In (2),Non AC,,,,,,,Royalstag (90 Ml),220.00,0.00,0.00,0.00,22.00,0.00,242.00,Cash,,Printed,30 Aug 2025 16:42:12,
17700,,Dine In (4),Non AC,,,,,,,Dal Khichdi Tadka,180.00,0.00,0.00,0.00,9.00,0.00,189.00,Cash,,Printed,30 Aug 2025 16:36:34,
17699,,Pick Up,Pick Up,,,,,,,Bhakri,56.00,8.40,0.00,0.00,2.38,0.02,50.00,Cash,,Printed,30 Aug 2025 16:03:54,
17698,,Dine In (3A),Non AC,,,,,,,"Chapati, Veg Thali",100.00,0.00,0.00,0.00,5.00,0.00,105.00,Cash,,Printed,30 Aug 2025 15:29:53,
17697,,Dine In (2A),Non AC,,,,,,,Veg Thali,140.00,0.00,0.00,0.00,7.00,0.00,147.00,Cash,,Printed,30 Aug 2025 15:24:28,
17696,,Dine In (3),Non AC,,,,,,,Veg Thali,70.00,0.00,0.00,0.00,3.50,0.50,74.00,Cash,,Printed,30 Aug 2025 15:22:51,
17695,,Dine In (2),Non AC,,,,,,,"Chapati, Veg Thali",100.00,0.00,0.00,0.00,5.00,0.00,105.00,Cash,,Printed,30 Aug 2025 15:21:22,
17694,,Dine In (18),AC,,,,,,,"Dsp Black (90 Ml), Soft Drink 300 Ml, Veg Thali",340.00,0.00,0.00,0.00,27.50,0.50,368.00,Cash,,Printed,30 Aug 2025 15:21:11,
17693,,Dine In (5),Non AC,,,,,,,"Egg Omelette, Veg Thali",150.00,0.00,0.00,0.00,7.50,0.50,158.00,Cash,,Printed,30 Aug 2025 15:16:43,
17692,215516729887082,Delivery,Konkan Swad Gomantak F - Swiggy,,,,,,,Prawns Biryani,340.00,0.00,0.00,10.00,17.00,0.00,367.00,Online,,Printed,30 Aug 2025 15:15:49,
17691,,Dine In (6),Non AC,,,,,,,"Chapati, Veg Thali",100.00,0.00,0.00,0.00,5.00,0.00,105.00,Cash,,Printed,30 Aug 2025 15:13:01,
17690,,Dine In (1),Non AC,,,,,,,"Chapati, Sukha Bhaji, Veg Thali",265.00,0.00,0.00,0.00,13.26,-0.26,278.00,Cash,,Printed,30 Aug 2025 15:12:14,
17689,,Dine In (5),Non AC,,,,,,,"Bhakri, Veg Thali",160.00,0.00,0.00,0.00,8.00,0.00,168.00,Cash,,Printed,30 Aug 2025 14:57:25,
17688,,Dine In (6),Non AC,,,,,,,Veg Thali,140.00,0.00,0.00,0.00,7.00,0.00,147.00,Cash,,Printed,30 Aug 2025 14:55:17,
17687,,Dine In (2),Non AC,,,,,,,"Chapati, Veg Thali",85.00,0.00,0.00,0.00,4.26,-0.26,89.00,Cash,,Printed,30 Aug 2025 14:48:36,
17686,,Dine In (3),Non AC,,,,,,,"Chapati, Veg Thali",155.00,0.00,0.00,0.00,7.76,0.24,163.00,Cash,,Printed,30 Aug 2025 14:42:24,
